cnt,gx,gy,gz,ax,ay,az
4004,-184,-616,388,-519,1193,15742
4005,-612,18,-396,-524,1305,15616
4006,-1120,-362,376,-478,1160,15544
4007,-1084,840,-62,-470,951,15529
4008,-1322,-258,250,-286,1002,15882
4009,-1210,770,-430,-594,1002,16454
4010,-658,158,66,-793,994,16776
4011,-240,838,458,-818,1008,16757
4012,86,562,20,-886,771,16687
4013,686,506,-350,-801,631,16482
4014,1158,390,-268,-541,747,16315
4015,1710,562,458,-516,964,16397
4016,1846,30,-62,-533,903,16237
4017,2082,562,-212,-469,1056,16012
4018,1406,262,516,-571,1121,15631
4019,1076,-154,-16,-608,1210,15319
4020,718,354,30,-533,1309,15217
4021,-252,-386,-292,-627,1510,15416
4022,-364,1406,-650,-742,1525,15656
4023,-906,412,226,-760,1281,15809
4024,-1040,538,-558,-773,1131,15926
4025,-1222,446,-304,-860,1056,15911
4026,-972,388,-718,-853,979,15785
4027,-1040,238,516,-767,945,15766
4028,-474,668,-500,-744,835,15960
4029,-196,470,-650,-783,677,15976
4030,164,666,-280,-855,643,16075
4031,470,76,354,-884,713,16095
4032,470,240,-96,-891,836,15994
4033,324,-606,-316,-877,1153,16011
4034,368,492,-500,-897,1254,15888
4035,166,990,284,-958,1096,15679
4036,254,620,-246,-854,1000,15524
4037,-38,584,-154,-814,958,15485
4038,-254,654,-614,-834,1079,15465
4039,-624,262,-430,-810,1288,15589
4040,-658,376,-730,-877,1292,15707
4041,-1086,-154,-72,-990,1116,15896
4042,-624,368,-38,-1069,1013,16132
4043,-488,42,-258,-1148,884,16266
4044,-500,308,284,-1185,850,16339
4045,-104,182,-500,-1225,822,16193
4046,64,574,-626,-1150,953,16163
4047,234,-132,30,-1150,971,15973
4048,436,376,-200,-1145,808,15820
4049,458,284,-650,-1050,875,15861
4050,448,538,-16,-997,903,15861
4051,76,-490,-130,-902,950,15903
4052,-4,54,-212,-925,1035,15845
4053,-206,724,-154,-1035,920,15837
4054,-14,204,100,-1193,850,15784
4055,-242,-640,-212,-1280,786,15794
4056,-342,-40,-776,-1253,887,15863
4057,-252,-120,20,-1295,987,16005
4058,-352,838,-188,-1264,897,15969
4059,66,390,-38,-1180,886,15805
4060,210,596,-662,-1186,924,15851
4061,582,272,20,-1274,872,15667
4062,164,100,688,-1202,872,15629
4063,186,1140,320,-1230,1024,15575
4064,-206,-190,-268,-1321,995,15624
4065,200,400,76,-1365,1039,15802
4066,176,122,608,-1496,1058,16028
4067,-14,238,216,-1563,948,16137
4068,98,76,-776,-1502,903,16147
4069,-172,-720,-764,-1315,900,15874
4070,-310,-86,-176,-1247,926,15703
4071,-510,-362,42,-1302,916,15504
4072,-456,-698,-246,-1217,974,15724
4073,-646,308,-522,-1349,864,16010
4074,-736,54,54,-1343,769,16196
4075,-376,-870,-638,-1377,678,16139
4076,-398,-698,-200,-1259,640,16109
4077,234,-548,-362,-1262,729,15978
4078,234,-478,666,-1377,816,15835
4079,-14,-674,-362,-1464,939,15870
4080,-364,-534,274,-1414,1003,15889
4081,-296,110,-464,-1260,1046,15817
4082,-782,-154,-718,-1234,886,15867
4083,-840,-224,-672,-1209,714,15957
4084,-668,-744,-754,-1157,668,15884
4085,-952,562,296,-1118,796,15709
4086,-930,-628,-546,-1057,894,15828
4087,-590,214,-742,-1123,759,16000
4088,-848,-270,-166,-1176,625,16107
4089,-512,-154,330,-1198,573,16209
4090,-364,-814,-246,-1404,334,16197
4091,-70,-582,-316,-1471,442,16241
4092,-140,76,-72,-1360,667,16176
4093,-218,250,688,-1278,595,15940
4094,-172,460,180,-1191,478,15683
4095,-82,262,-960,-1234,565,15766
4096,-164,-490,-326,-1216,581,15924
4097,-162,-408,354,-1247,613,16060
4098,-162,30,-166,-1300,535,16239
4099,-734,-788,-418,-1298,478,16167
4100,-162,134,-120,-1306,363,15943
4101,-254,-860,192,-1237,427,16001
4102,42,-258,250,-1291,394,16140
4103,300,42,296,-1358,426,16340
4104,426,-664,20,-1311,529,16299
4105,606,-976,296,-1289,640,16140
4106,786,-86,124,-1252,566,15872
4107,728,-328,76,-1035,497,15524
4108,402,630,-16,-961,586,15524
4109,244,-606,112,-1066,669,15788
4110,772,-582,-258,-1232,826,16024
4111,346,-328,-84,-1289,872,16041
4112,344,54,-846,-1237,735,15940
4113,312,18,-280,-1107,715,15749
4114,22,-106,-904,-1032,683,15676
4115,-28,226,-212,-1038,685,15871
4116,178,-98,-408,-1153,704,16060
4117,-26,-200,-408,-1219,731,16112
4118,62,204,-408,-1193,814,15968
4119,288,-512,538,-1181,863,15856
4120,20,-176,-418,-1100,862,15896
4121,28,446,-120,-1108,892,16074
4122,278,-224,-558,-1207,915,16237
4123,368,-548,76,-1233,937,16113
4124,966,816,-316,-598,807,15503
4125,2376,-328,-50,339,1158,14380
4126,5384,630,-904,715,3855,12507
4127,5668,-2062,-304,-644,6667,9845
4128,4064,-3980,-512,-581,2175,3642
4129,4506,-3460,-1180,-154,-802,-101
4130,6198,-2952,-1538,-140,-589,119
4131,7470,-2696,-1088,-229,-617,-82
4132,9050,-2224,-764,-232,-355,-352
4133,10334,-1784,-1792,-206,-168,-234
4134,11144,-2026,-1756,-250,-131,29
4135,11810,-1402,-1122,-246,-76,80
4136,11686,-1760,-1156,-249,17,-101
4137,12316,-1864,-1698,-221,81,14
4138,12126,-1184,-2402,-268,128,132
4139,12250,-1518,-2402,-262,86,289
4140,12350,-1114,-1514,-268,177,247
4141,12104,-664,-2598,-304,188,346
4142,12184,-248,-2978,-275,155,340
4143,12026,-906,-2632,-284,217,328
4144,11676,-976,-2852,-292,198,426
4145,11428,-1148,-3106,-264,216,485
4146,11236,-212,-3464,-290,231,640
4147,10662,284,-3820,-325,242,734
4148,10412,-374,-2864,-310,252,704
4149,10224,-360,-3614,-336,221,707
4150,9444,-928,-3716,-328,240,809
4151,9376,-456,-4006,-324,252,855
4152,9002,-594,-3128,-338,245,908
4153,8362,-190,-3924,-296,173,1101
4154,7662,-802,-4190,-433,221,1113
4155,7460,-768,-4132,-205,190,1053
4156,6466,-1240,-3082,-373,135,1434
4157,6140,-1136,-3544,-357,191,1603
4158,5046,-1656,-3544,-338,202,1562
4159,4616,-1402,-3694,-610,565,1495
4160,4102,-1066,-3118,-622,525,1946
4161,3502,-2038,-3268,-718,564,2115
4162,2050,-2406,-3936,6118,13607,4614
4163,-11006,-536,-3406,-3413,10169,1756
4164,-32768,-5400,-28808,-11758,32767,32767
4165,-32768,13076,-32198,-32768,-32768,32767
4166,32767,11296,30808,-2588,-32768,32767
4167,32767,13400,-7822,-3001,-12408,-9667
4168,32767,4294,-3994,2687,-7062,-6006
4169,32767,-8150,-10116,-1305,-2843,-812
4170,32767,-7122,-7338,1106,-4132,-5654
4171,32767,-130,-7788,3195,-1827,-9023
4172,32767,6974,-6554,944,-101,-4735
4173,32767,4652,-5032,-2011,-297,1041
4174,32767,-2940,-2402,-1588,484,229
4175,32767,-8312,-2910,15,2062,-2721
4176,32767,-7376,-2402,1288,2933,-4450
4177,32767,-1412,-1848,978,4677,-3549
4178,23556,896,-580,-372,5842,-735
4179,13894,-1958,-234,-1570,7068,733
4180,6682,-6210,896,-1616,8241,245
4181,-1942,-9330,1184,-3668,14378,-1931
4182,-13790,-8520,3076,-5918,23762,-3802
4183,-28898,-5100,8898,-7447,30463,-1889
4184,-32768,-5620,8884,-5966,26182,2795
4185,-32768,-12402,4862,-1790,19815,1936
4186,-32768,-15350,1450,2981,10754,1170
4187,-32768,-14564,-1792,3711,5800,-891
4188,-32768,-9560,-2772,3553,2414,-2167
4189,-32768,-3794,-3232,2915,470,-1813
4190,-32768,816,-3694,1880,-838,-234
4191,-32768,2964,-3982,789,-1425,888
4192,-32768,3522,-3832,915,-1805,868
4193,-32768,10384,-2852,2388,-15163,31294
4194,-20374,24884,4504,-2999,-32768,32767
4195,32767,13736,-1400,-17186,-12140,32767
4196,8170,-5920,-626,-1582,12596,3768
4197,6220,-7156,-1076,-578,817,-771
4198,6694,-13500,700,717,651,-1777
4199,5284,-4302,-1054,1206,560,-801
4200,2364,-1438,-604,320,2784,4735
4201,-4762,-1842,-1688,2806,6860,6136
4202,-18390,4548,-2344,3151,7816,10221
4203,-28728,11550,-3832,-2652,-1859,27501
4204,-3160,4988,422,-10254,-22852,32767
4205,15544,-2764,908,-3937,1907,22103
4206,6740,-3146,296,3062,9363,8945
4207,-1446,-1818,30,-702,829,4889
4208,-6024,-340,-62,-124,-409,5765
4209,-6588,886,-604,-485,-858,13676
4210,-2394,238,-476,-1137,-3505,23182
4211,2320,434,320,-2390,-2731,24235
4212,2444,-178,170,-720,1255,17354
4213,414,700,66,-1038,506,11925
4214,-1188,-1182,88,-954,-388,11824
4215,-454,250,342,-1165,-1171,15080
4216,-230,-108,342,-996,-584,18431
4217,-162,-316,-176,-1133,-673,18045
4218,324,-108,354,-1141,-565,15396
4219,22,-280,-154,-1002,-387,14240
4220,-94,400,-614,-975,-367,15619
4221,-152,64,-372,-1144,-757,17085
4222,98,110,654,-1150,-733,16596
4223,324,42,-396,-1061,-362,15228
4224,-376,-340,-258,-971,-518,15458
4225,30,158,-614,-1065,-727,16261
4226,302,100,330,-1127,-526,16374
4227,-240,146,158,-1106,-496,15843
4228,98,-1218,-130,-1072,-568,15601
4229,110,-976,-108,-992,-555,15876
4230,-352,-396,-338,-1083,-552,16188
4231,64,492,-4,-1146,-552,16125
4232,-104,-362,-96,-1066,-521,15784
4233,-104,134,124,-1041,-533,15847
4234,-194,-316,-568,-1056,-587,15957
4235,8,-106,-362,-1090,-538,15969
4236,20,458,-84,-1069,-494,15934
4237,-14,-166,66,-1051,-609,15901
4238,-60,366,180,-1030,-550,15935
4239,42,18,-684,-1072,-549,15858
4240,18,272,330,-1085,-561,15971
4241,-216,274,134,-1062,-567,15958
4242,132,-108,-166,-1038,-534,15885
4243,-60,238,-788,-1096,-561,15933
4244,110,44,-222,-1065,-579,15969
4245,-40,-270,-16,-1033,-587,15913
4246,-138,-628,-130,-1093,-560,15938
4247,-48,-698,-280,-1070,-530,15955
4248,42,-190,-464,-1055,-568,15970
4249,346,-258,376,-1060,-567,15904
4250,-26,-154,-418,-1071,-553,16001
4251,64,-582,20,-1058,-571,15945
4252,120,122,-16,-1072,-550,15936
4253,-206,-432,480,-1050,-529,15930
4254,30,-466,-338,-1062,-596,15901
4255,98,-98,-38,-1073,-550,15894
4256,-94,64,-200,-1083,-557,15872
4257,56,-222,112,-1059,-564,15947
4258,-172,146,-142,-1043,-570,15951
4259,-374,-256,124,-1067,-536,15890
4260,-60,584,-604,-1081,-536,15968
4261,-150,-98,-430,-1072,-575,15975
4262,178,250,204,-1075,-537,15906
4263,120,-640,-258,-1058,-556,15952
4264,166,354,-38,-1089,-564,15965
4265,96,-202,134,-1048,-555,15968
4266,-114,-176,-442,-1071,-563,15923
4267,-218,-398,-176,-1095,-562,15966
4268,-94,784,-72,-1126,-559,15895
4269,-48,-28,688,-1085,-559,15945
4270,132,-98,376,-1054,-557,15888
4271,-4,-202,-338,-1088,-561,15916
4272,-194,54,-154,-1044,-576,15873
4273,-252,-558,712,-1106,-559,15968
4274,-206,6,180,-1075,-582,15979
4275,-104,-154,-880,-1078,-587,15890
4276,-94,-316,388,-1060,-562,15944
4277,-70,-74,446,-1071,-565,15921
4278,120,-98,180,-1057,-579,15882
4279,-264,42,-846,-1065,-553,15897
4280,86,-408,66,-1070,-528,15930
4281,20,-108,238,-1084,-579,15891
4282,30,-420,308,-1065,-532,15871
4283,-172,-154,-1030,-1056,-536,15949
4284,-172,-570,-316,-1091,-594,15868
4285,-38,-50,526,-1051,-572,15956
4286,64,-396,-108,-1096,-557,15889
4287,-238,-834,-846,-1065,-590,15929
4288,-162,-362,-96,-1085,-542,15934
4289,54,90,480,-1095,-545,15878
4290,-196,100,216,-1076,-568,15945
4291,-218,-420,-362,-1063,-548,15913
4292,-82,-664,-130,-1059,-557,15890
4293,-70,-40,572,-1079,-562,15960
4294,76,366,284,-1084,-574,15953
4295,-60,110,-776,-1049,-556,15903
4296,-60,-144,-212,-1090,-558,15907
4297,-48,-74,-38,-1100,-550,15948
4298,-4,122,354,-1074,-552,15921
4299,-206,-882,-396,-1084,-548,15938
4300,302,64,-4,-1109,-559,15925
4301,178,148,-38,-1071,-608,15993
4302,-150,-4,158,-1060,-543,15919
4303,20,-374,-800,-1076,-546,15931
4304,268,-62,-200,-1075,-590,15971
4305,144,-16,722,-1066,-576,15887
4306,210,-98,42,-1042,-580,15934
4307,-14,192,-822,-1107,-590,15982
4308,402,298,-568,-1117,-564,15966
4309,-136,-280,216,-1089,-533,15912
4310,-150,-16,-84,-1059,-560,15893
4311,-286,204,-1064,-1090,-556,15900
